FIDC;PL Total;PL Sênior;PL Mezanino;PL Subordinada Jr;Carteira (Direitos Creditórios);Quantidade de Cedentes;Quantidade de Sacados;Caixa/Disponibilidades;Taxa Média;Taxa Ponderada de Cessão;Prazo Médio;Ticket Médio;Retorno Cota Subordinada;Cheques;Duplicata;Duplicata de Serviço Físico;Contrato;Nota Comercial;Confissão de Dívida;Nota Promissória;CCB;Resgates Subordinada Jr.;Resgates Subordinada Mezanino;Resgates Sênior;Liquidado Total (R$);Liquidado Antecipadamente;Liquidado no Prazo;Liquidado Vencido;Entre D1-D5;Entre D1-D15;Entre D6-D15;Entre D16-D30;Acima de D30;Entre D31-D90;Entre D91-D120;Acima de D120;Recompra (R$);Número de Funcionários;Volume Operado;PDD Total;(PDD Total)0-5 dias;(PDD Total)0-15 dias;(PDD Total)0-30 dias;(PDD Total)5-30 dias;(PDD Total)15-30 dias;(PDD Total)30-60 dias;(PDD Total)60-90 dias;(PDD Total)90-120 dias;(PDD Total)120-150 dias;(PDD Total)> 120 dias;(PDD Total)150-180 dias;(PDD Total)180-360 dias;(PDD Total)180-365 dias;(PDD Total)180-999 dias;PDD À Vencer;Vencidos Total;(Vencidos Total)0-5 dias;(Vencidos Total)0-15 dias;(Vencidos Total)0-30 dias;(Vencidos Total)5-30 dias;(Vencidos Total)15-30 dias;(Vencidos Total)30-60 dias;(Vencidos Total)60-90 dias;(Vencidos Total)90-120 dias;(Vencidos Total)120-150 dias;(Vencidos Total)> 120 dias;(Vencidos Total)150-180 dias;(Vencidos Total)180-365 dias;(Vencidos Total)180-999 dias;Concentração Top 10 Cedentes (R$);Cedente 1;Cedente 2;Cedente 3;Cedente 4;Cedente 5;Cedente 6;Cedente 7;Cedente 8;Cedente 9;Cedente 10;Concentração Top 10 Sacados (R$);Sacado 1;Sacado 2;Sacado 3;Sacado 4;Sacado 5;Sacado 6;Sacado 7;Sacado 8;Sacado 9;Sacado 10;Subordinação (%);Subordinação Jr (%);PDD Total (PL%);Vencidos Total (PL%);Concentração Maior Cedente (PL%);Concentração Maior Sacado (PL%);Concentração 10 Maiores Cedentes (PL%);Concentração 10 Maiores Sacados (PL%);Recompra (PL%);Volume Operado (PL%);Caixa/Disponibilidades (%PL);Liquidados Total (PL%);Duplicata (PL%)
MATRIZ;125530647.77;50807065.47;16538045.71;58185536.59;118899345.62;336.0;7977.0;11389520.17;0.0261038420771499;;33.0;3660.8008141482937;0.0331462661034107;8800279.100000001;99500262.07999954;;0.0;7587528.529999999;2192049.52;0.0;819226.4400000001;;;;67480866.07;9490441.05;26608611.54000004;;;27849857.16;;1980209.6900000004;;1313480.6999999995;24652.82;213613.11000000004;2531794.31;;60304853.27999984;5961131.170000003;;;1261957.6800000009;;;254423.71;256412.19000000003;151452.69000000003;;2327808.4100000006;;;;;1709076.4900000014;18143977.419999994;;;14131649.979999997;;;962996.07;545034.5299999999;176488.21000000002;;2327808.629999999;;;;44012325.11;9604628.030000005;7131081.899999999;6984448.919999998;5021488.300000004;3394644.55;3130640.8100000005;2610388.15;2236596.879999997;1966809.3600000003;1931598.21;15384201.22;2610388.15;2010199.84;1950749.52;1931598.21;1479920.8100000008;1462998.45;1194409.24;1025668.77;879403.5699999996;838864.66;59.52616642025953;46.35165804020132;4.748745645702488;14.453822825198662;7.6512215945844675;2.079482736982932;35.06101967277373;12.255334847142088;2.0168734527991994;48.03994430945;9.073099177236884;53.75648677734852;79.26372073081794
MULTIASSET;312998351.16;73580069.08;72989208.86;166429073.22;276726087.51;99.0;9649.0;1098.16;;0.0209;151.050009810953;1698.68632655817;0.0142356035316171;1680413.0681312438;275045674.4418688;;0.0;;;0.0;;110000.0;;-1429444.4900000002;73024860.5700001;13316223.340000063;19369127.42000001;40339509.81000004;19300637.920000043;;10661073.829999993;8778815.510000002;1598982.5500000012;;;;10795234.83;;77174729.78;8718642.81;;;;;;;;;;;;;;;;20043525.69;;;;;;;;;;;;;;46556068.63;7383849.76;6718595.39;5613163.27;4966746.919999999;4579110.230000001;4059976.39;3558636.57;3456648.53;3162305.14;3057036.43;91569680.77;16506920.85;10563001.52;10299250.06;10233916.98;9079514.82;8296792.37;6801516.899999999;6718595.3900000015;6627403.16;6442768.72;76.4918668717245;53.17250797111195;2.785523558730558;6.403716062949499;2.3590698585582923;5.273804411053243;14.874221687577274;29.255643178513406;3.448974983411858;24.656593075964622;0.000350851688492965;23.330749283299223;87.87448030397758
MULTIPLIKE;1167739387.98;699696552.78;233319332.0;234723503.2;1081891126.285009;;;3578768.69;0.0201;;92.51;;0.0299;37677014.22999998;446245830.1299981;;80540994.59999938;;;;;;;;486028933.524981;;;;;;;;;;;;7169781.94;319.0;482465295.92;217555.93;0.0;;;180157.66;;37398.27;0.0;0.0;;0.0;;;;;;40940510.31999999;34752995.15;;;6074978.84;;112536.33;0.0;0.0;;0.0;;;;273155222.54;43877977.06;36954474.12;32755822.03;30676397.08;29060526.51;20876433.33;20592134.29;20050187.23;19260990.78;19050280.11;195496804.73;29060526.51;20876433.33;20050187.23;19536280.14;19260990.78;19140068.29;19050280.11;16759595.02;16332189.32;15430254.0;40.08110371352963;20.100675340414238;0.01863052083704537;3.5059629521292797;3.757514520076418;2.488614052855578;23.391796607333276;16.741475601690357;0.6139881906700572;41.31617901101947;0.3064698105448588;41.62135306283813;38.21450528460216
NOVACAPITAL;148616497.49;76907979.44;30285243.31;41423274.74;135760485.22;323.0;6345.0;12514694.73;0.0268365329572828;;27.0;4342.945800063985;0.0345255721009361;0.0;134858153.35000023;;0.0;902332.36;0.0;0.0;0.0;;;;73283638.85999936;9270873.879999995;48471980.53999991;;;12936051.11999999;;1693741.0800000008;;855989.8600000001;21811.64;33190.74;2564949.2499999995;;87155737.32000001;1901456.64;;;77086.54999999999;;;177390.44999999998;79850.61;309792.04;;1074956.52;;;;;182380.4700000001;8271051.230000001;;;5590521.210000001;;;1043344.97;169348.49999999997;392879.99;;1074956.56;;;;38817076.90999999;9016416.55;4872120.199999998;4326477.710000001;4202694.090000001;3605910.63;3197716.1399999964;2741116.600000001;2456773.9699999904;2217332.06;2180518.9599999986;24235544.53;9016416.55;3904923.97;1804294.83;1676917.0900000003;1542989.66;1430755.82;1278908.9200000004;1243078.0599999991;1208129.98;1129129.65;48.25071190688306;27.872595196093393;1.2794384688873075;5.5653654672870605;6.066901523235461;6.066901523235461;26.118955543688465;16.307438904372475;1.7258846045490932;58.64472571483154;8.420797785819222;49.31056786944559;90.74238434334954
ONE7;279562138.87;157653209.27;22173919.17;99735010.43;270101504.19;763.0;6636.0;;0.0268;;23.78;12072.27;0.0255;5261498.07;189547373.56;67071993.79;2758067.43;;5462571.34;;;;;;;;;;;;;;;;;;23401410.1;128.0;;14194351.51;;513564.61;;;327493.74;760088.99;750276.84;907465.33;1447085.04;;2090102.87;3841027.09;;;3557247.0;17422117.009999998;;8842392.69;;;3311881.99;2576755.92;1635378.69;1055707.72;;;;;;60970143.00000001;9906367.81;8889207.29;7711576.96;5941768.25;5685062.89;5080258.83;4681021.88;4527115.41;4513330.29;4034433.39;37394751.39;6276039.99;4413772.0;4197021.13;4089931.49;3450855.46;3339737.08;3192687.54;2993015.78;2758067.43;2683623.49;43.607095757944975;35.67543546244582;5.077351163277713;6.231930074802263;3.543529839212809;2.244953488826482;21.809156006046983;13.376185895969641;8.3707365362811;;;;67.80151787583152
ONIX;65319528.296073854;30553854.586099982;16208690.589984354;18556983.119989514;50096849.08;94.0;3996.0;8280674.26;0.0345;0.024;33.0;5541.0;0.0032;0.0066060315940641;0.9767352800382958;;0.0;;;0.01665868836764;;0.0;44711.55;;;;;;;;;;;;;;2179865.56;;32927636.4;1630127.93;;;;;;;;;;;;;;;;7780415.74;;;;;;;;;;;;;;18966478.46;2976490.29;2029809.73;1941716.3700000008;1808789.72;1766033.740000001;1732110.379999999;1717135.11;1696550.8900000004;1666170.9999999995;1631671.23;13203296.92;2976490.29;2007853.87;1631671.23;1536078.6100000003;1122780.79;982930.69;839687.91;806535.8799999999;685606.5700000001;613661.0800000001;53.224012201054926;28.409548574625752;2.4956210991162067;11.911316482160904;4.556815347025259;4.556815347025259;29.036459623576334;20.213399062150923;3.3372340812372716;50.41009520269174;12.677180126693788;;1.4953189429217055e-06
PAGOL;61662015.49;11973387.32;0.0;49688628.17;68828824.91;2.0;6610.0;5501335.77;;0.01655221;282.85888243;305.9107841;0.00499351;0.0;0.0;;0.0;;;;68828824.91;0.0;0.0;;;2269638.29;213581.17;;79339.38;;709327.04;25408.09;140768.46;;;;0.0;;144168.76;12629812.49;;;;;;;;;;;;;;;;5257531.66;;;;;;;;;;;;;;56199012.02;39101783.26;17097228.76;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;701333.8900000001;86808.59;76511.01;75748.85;72991.8;67231.44;65691.88;65273.94;64372.18;63798.42;62905.78;80.58223166263228;80.58223166263228;20.482321879420617;8.526370113303605;63.41308007737973;0.14078130484411125;91.14040722381843;1.1373839866031277;0.0;0.23380481298633593;8.921757951444476;;0.0
PHD;182963949.04;109294691.47;36333871.66;37335385.91;169361403.72000077;154.0;6265.0;15861812.329999998;0.0229744519122064;;129.13643671740917;;0.027447;4235187.970000003;104073915.6400009;28135940.94999997;8251893.270000001;6179939.909999999;0.0;;15035080.780000014;0.0;0.0;1280826.56;91862301.72;;;;;;;;;;;;3773367.28;;94662314.30000016;3449445.1999999844;;;;;41331.54999999516;414530.7099999897;57210.16999999806;41426.58999999985;2726.679999999702;;9964.22000000067;;2366045.380000004;;420525.54;16492906.260000046;;;;;1646641.8800000018;2762036.6199999927;167224.5900000017;55399.80999999866;2726.679999999702;;9964.22000000067;2366045.570000003;;76055865.8;15035080.780000014;11868317.149999982;7216992.899999986;7121669.960000003;6142077.300000002;6032011.7700000005;5971019.66;5662380.329999997;5612885.159999997;5393430.790000001;30585182.849999998;4106189.9;4082969.609999995;3915270.94;3269730.66;3216040.38;2919589.9800000004;2871364.270000001;2632528.399999999;1834455.23;1737043.4800000004;40.26435697116171;20.40587017600809;1.8853141387136647;9.014292895697354;8.217509984282758;2.2442617365578914;41.56877144325984;16.716507820517908;2.062355616939082;51.738233021689354;8.669364873914178;50.20787002138704;56.88219793356561
RAIZES;185099739.37;93915975.82000002;32165330.270000003;59018433.2799999;179741428.45;183.0;3258.0;2932169.2800000003;0.0312515439214643;;62.5532588660712;;0.0752;1123341.0800000003;100299270.56000012;;18486759.67000001;;280941.37000000005;0.0;9953947.85;;;;;;;;;;;;;;;;6852298.799999994;;58942997.74999985;12764717.009999998;;;;;;;;;;;;;;;5116525.67;23654784.64;;13442652.019999996;;;1880321.03;1660913.7100000018;1215640.5799999994;845701.8599999993;1019435.1;;642520.4499999998;;2947599.89;51935356.74;9953947.85;8187116.609999998;7025233.600000001;6296763.619999997;4564815.45;3876603.369999997;3142480.99;3130618.66;2941383.91;2816392.68;35805991.35;9701906.81;3929251.09;3130618.66;3095982.5100000007;3093680.53;2941383.91;2737845.14;2611092.73;2482569.93;2081660.04;49.261962150973446;31.884665792006672;6.896129110416693;12.779480252382161;5.377613109493812;5.241448120359933;28.058038826400107;19.34416086800998;3.701949458882155;31.843911801613817;1.5841023277395445;;54.1866082045149
SIFRAPLUS;966669841.32;551515848.58;112174613.21;302979379.53;821676560.67;314.0;7954.0;146749142.51;;0.0268582938968942;;18519.34470177146;0.020054952;0.0;678804102.5853921;;9874362.402171578;46187291.09478834;;;;0.0;0.0;;;40216812.6;148002347.47;;257309260.49;;46852642.370000005;9218190.79;1938346.83;;;;2827289.81;;534244411.02;15718909.01;;;;;;;;;;;;;;;;77610671.4;;;;;;;;;;;;;;305994570.83;49357046.59;48350595.36;39222206.82;37454723.43;28592467.17;24764706.19;24158493.52;21286001.42;20058152.27;12750178.06;158536814.92;28592467.17;26473930.47;24086579.71;14769924.13;13837713.56;12092451.97;10262545.11;10158252.47;9331898.88;8931051.450000001;42.94682372350645;31.34259150117663;1.6260886952401066;8.028663777699078;5.10588460302044;2.957831717492771;31.654506818187322;16.40030630349613;0.29247729567515;55.26648170697892;15.180895920949823;;70.2208834464595
SIFRASTAR;1218636450.89;757682249.0;82570589.2;378383612.69;1151013293.46;366.0;5866.0;140330182.1;;0.02793;73.053573780303;43723.69;0.014144;68240.5199573132;319197335.11033034;;34533498.81839812;741823952.5359626;;;;;;;;;;;;;;;;;;;1650735.04;;428647177.38999695;46195110.53;;;;;;;;;;;;;;;;69955064.71;;;;;;;;;;;;;;458504153.6;77301603.71;68423029.03999999;61960025.48;56423870.97999999;38994002.06999999;34533498.84000001;34425443.120000005;30455220.49;28649072.46;27338387.409999967;440718905.0;77301603.71;68423029.03999999;62678534.52;56423870.97999999;38994002.06999999;34425443.120000005;30455220.49;28649072.46;22702470.850000005;20665657.76;37.825407368485806;31.049753387374647;3.7907212192990434;5.740437573396897;6.343286683534267;6.343286683534267;37.62435903383189;36.16492061091166;0.13545754673548682;35.17432759187085;11.515344219148657;;26.19299093484465
SIGMA;150557959.3;73834810.96;45049954.99;31673193.35;144570364.8899998;304.0;4652.0;19923127.61;0.0294609102175838;;62.28426400792871;;0.021015;4429013.170000002;114354192.4199994;5266554.15;0.0;1302670.35;0.0;;;0.0;;5540171.82;85478438.22;;;;;;;;;;;;5029057.34;;80011956.94999956;13429866.380000016;;;;;66504.92000000551;863610.7599999905;672176.0300000049;859623.4400000051;921818.039999988;;1019948.84;;8922144.560000015;;65877.80000000075;28141341.190000005;;;;;2753348.399999991;5982491.80999998;1910641.0600000136;956629.3900000118;921818.0699999816;;1019948.8599999956;8922145.070000013;;34982207.85;5938502.499999999;4953093.460000001;3652762.4;3218319.26;3206699.600000001;3115225.5500000003;2838779.4799999986;2772205.6200000006;2699050.7500000023;2587569.2299999995;21717101.73;3652762.4;2606331.7800000007;2297369.34;2278756.84;2001087.5899999996;1992995.42;1789755.9999999998;1730869.97;1720185.7900000005;1646986.6;50.95921112156041;21.037209522007647;8.920064035432244;18.691367311857558;3.9443298299274963;2.4261503124664094;23.235043841352066;14.424412917769933;3.340279958218057;53.143624768829845;13.232862415663732;56.77443996811664;75.95360149119622
SOLAR;123426249.35;81561979.08999999;13035318.53;28828951.73;117408810.2399999;32.0;579.0;5637403.540000001;0.0238759214180049;;28.90202397940962;;;;;;;;;;;;;;28039032.56;3491430.0300000007;11496591.409999996;13051011.119999995;;;;;;;;;1112696.34;;31235344.440000016;398998.63000000006;;;;;;;;;;;;;;;;4489134.169999998;;;;;;;;;;;;;;48546981.85;11211167.139999991;7347591.470000001;7076750.470000002;5979641.840000001;3842348.88;3609585.42;2542153.76;2533113.5800000005;2306940.76;2097688.53;33478781.62;7076750.470000002;4992126.409999999;4050580.42;2958487.6899999995;2807804.3200000003;2672698.4000000004;2535911.0;2401315.1999999997;2174519.29;1808588.42;33.918449665666685;23.35722901880434;0.3232688606364106;3.6370984240719766;9.08329241068362;5.733586256787606;39.33278545338865;27.124523183933242;0.9015070504530406;25.30688942141141;4.567426758641922;22.71723616950368;
