FIDC;PL Total;PL Sênior;PL Mezanino;PL Subordinada Jr;Carteira (Direitos Creditórios);Quantidade de Cedentes;Quantidade de Sacados;Caixa/Disponibilidades;Taxa Média;Taxa Ponderada de Cessão;Prazo Médio;Ticket Médio;Retorno Cota Subordinada;Cheques;Duplicata;Duplicata de Serviço Físico;Contrato;Nota Comercial;Confissão de Dívida;Nota Promissória;CCB;Resgates Subordinada Jr.;Resgates Subordinada Mezanino;Resgates Sênior;Liquidado Total (R$);Liquidado Antecipadamente;Liquidado no Prazo;Liquidado Vencido;Entre D1-D5;Entre D1-D15;Entre D6-D15;Entre D16-D30;Acima de D30;Entre D31-D90;Entre D91-D120;Acima de D120;Recompra (R$);Número de Funcionários;Volume Operado;PDD Total;(PDD Total)0-5 dias;(PDD Total)0-15 dias;(PDD Total)0-30 dias;(PDD Total)5-30 dias;(PDD Total)15-30 dias;(PDD Total)30-60 dias;(PDD Total)60-90 dias;(PDD Total)90-120 dias;(PDD Total)120-150 dias;(PDD Total)> 120 dias;(PDD Total)150-180 dias;(PDD Total)180-360 dias;(PDD Total)180-365 dias;(PDD Total)180-999 dias;PDD À Vencer;Vencidos Total;(Vencidos Total)0-5 dias;(Vencidos Total)0-15 dias;(Vencidos Total)0-30 dias;(Vencidos Total)5-30 dias;(Vencidos Total)15-30 dias;(Vencidos Total)30-60 dias;(Vencidos Total)60-90 dias;(Vencidos Total)90-120 dias;(Vencidos Total)120-150 dias;(Vencidos Total)> 120 dias;(Vencidos Total)150-180 dias;(Vencidos Total)180-365 dias;(Vencidos Total)180-999 dias;Concentração Top 10 Cedentes (R$);Cedente 1;Cedente 2;Cedente 3;Cedente 4;Cedente 5;Cedente 6;Cedente 7;Cedente 8;Cedente 9;Cedente 10;Concentração Top 10 Sacados (R$);Sacado 1;Sacado 2;Sacado 3;Sacado 4;Sacado 5;Sacado 6;Sacado 7;Sacado 8;Sacado 9;Sacado 10;Subordinação (%);Subordinação Jr (%);PDD Total (PL%);Vencidos Total (PL%);Concentração Maior Cedente (PL%);Concentração Maior Sacado (PL%);Concentração 10 Maiores Cedentes (PL%);Concentração 10 Maiores Sacados (PL%);Recompra (PL%);Volume Operado (PL%);Caixa/Disponibilidades (%PL);Liquidados Total (PL%);Duplicata (PL%)
ALFA;55985062.1;21991907.43;0.0;33993154.67;53074864.7421837;82.0;3431.0;48438.44;0.0225;;55.49853;;0.0274778204507808;2723720.61;49583910.86;;;;;;;;;;19354987.21;;;;;;;;;;;;895571.6;24.0;27775582.2;1535677.1;;13650.459999999994;;;10044.939999999997;251325.71;36126.01;92701.83;586456.24;;91847.13999999998;;;453524.7700000002;62993.11000000005;4419809.120000002;;1357754.8400000008;;;355296.29;1419050.5500000005;53385.04000000001;102494.18;586456.29;;91847.13999999998;;453524.7900000002;22957129.05;3581929.4;3085229.58;2387636.97;2360043.36;2275601.16;2262245.71;1943289.72;1821918.07;1636181.5;1603053.58;8553026.77;1133381.51;904865.38;899158.06;876366.42;864658.07;838767.35;776919.78;755725.97;753557.34;749626.89;60.71825839771642;60.71825839771642;2.743012229328223;7.894622162078484;6.398009157517751;2.0244355681441677;41.005811530572544;15.277337291727322;1.5996617069037777;49.612487971144;0.08652029341948342;34.57169909971396;88.56632287275788
APPALOOSA;100121026.07;59762110.41;20151851.39;20207064.27;90854851.16;159.0;1795.0;12919151.0;0.0243;;38.34;10431.82;;311591.13;54500248.89;;27315237.52999999;2840766.37;;0.0;2088988.89;;;;45868849.56;;;;;;;;;;;;2328920.6;;39106005.27;3798018.35;;50738.05;;;7734.74;37298.96;51467.13;30860.01;599472.92;;0.0;;;2891837.31;128609.23;3722069.81;;2841483.57;;;728907.2;76774.42;74594.63;309.75;0.06;;0.0;;0.18;26729895.37;4194339.4;3265370.67;3136746.75;3012802.0;2984199.0;2216500.41;2088988.89;2056499.5;1954596.66;1819852.09;21336683.9;2984199.11;2929089.24;2559215.76;2088988.89;2026239.89;1954596.66;1825106.54;1751017.27;1619262.22;1598968.32;40.310129893977425;20.18263801638644;3.793427314003555;3.7175705804270334;4.189269292014159;2.9805918168613115;26.697584332896962;21.310892164731086;2.3261054060430086;39.05873401922479;12.903534359473632;45.813403398333755;54.43436911233406
ARTICO;269865024.0;157647202.11;47592981.19;64624840.73;236207927.19;84.0;1058.0;32158205.46;0.0172;;87.0;41593.22543;0.036326;;;;;;;;;;;;117874032.6;35606630.67;26249384.62;;;51207838.93;;4049091.22;;592196.25;113028.0;55862.89;3136044.33;;136255106.5;68788.51;;;25970.11;;;14524.72;5548.31;0.0;;0.0;;;;;22745.44;4354851.49;;;4268018.63;;;70100.92;16731.94;0.0;;0.0;;;;89022610.84;10848425.109999998;9800927.64;9621267.69;9381904.36;8548395.75;8370269.400000002;8294989.479999999;8270676.69;8270676.689999999;7615078.030000004;47755389.64;10961976.209999995;8207358.800000001;6790398.530000003;4117255.1;3477036.45;3452719.1599999974;3252754.0300000003;2898932.1;2450243.81;2146715.45;41.582944042426185;23.947097616473634;0.025489968644473168;1.6137146731545322;4.019944841018003;4.062021838739649;32.987828330061774;17.696027789062434;1.1620788361221646;50.49009481866016;11.916403609235408;43.67888467087902;
AUDAX;223680201.51;128564082.42;44522195.48;50593923.61;175132981.42000002;185.0;7084.0;38964081.61;0.0262567423231401;;67.0;6188.05592514766;0.0778677095458142;8991523.4;103333787.35999952;;21572648.43000002;39992293.440000005;101015.07;0.0;1141714.1699999997;;;;88987319.36000083;24230284.44999996;32641514.20999981;;;30015857.58999999;;1293145.1400000006;;648627.79;126940.94;30949.24;2734412.379999999;;62244062.29000016;1236070.7700000005;;;78025.63000000002;;;159302.29;97000.54000000002;72579.19;;563693.94;;;;;265469.1800000005;18390714.57;;;16852003.139999997;;;725879.5100000002;176558.75;72579.19;;563693.98;;;;57314749.78999996;11324154.709999949;10361064.88000001;8803030.769999998;5040834.900000001;4483257.07;4216419.48;3669191.599999998;3346553.67;3058075.789999999;3012166.92;35843771.45;5089380.399999999;5040834.900000001;4352685.109999999;4216419.48;3818565.9700000007;3713640.8;2526277.12;2458718.55;2441649.28;2185599.84;42.523262429083466;22.61886535708352;0.5526062484098486;8.22187857747339;5.062654018350249;2.27529319342663;25.623523853736163;16.02456149808035;1.2224650914746928;27.827255997539613;17.419548689139592;39.78327932435384;46.197109383138596
AURUM;190044738.04;112086902.65;36369185.88;41588649.51;160159688.62000012;87.0;4053.0;35428962.26;0.0229;;186.00779360121783;;0.020295;0.0;54223552.57000006;13482985.22999998;;52625444.83999999;;;6748570.54;;;;73872575.26999997;;;;;;;;;;;;1979776.85;;62505130.94000007;4564340.570000008;;;;;1180.059999998659;184266.429999996;390952.7099999972;735.1999999992549;155148.96999999508;;63989.77000000328;;514704.3700000175;;2998403.7099999995;21278679.34000016;;;;;108192.020000007;326446.6899999939;437259.3799999952;1000.0;155148.97999999672;;63989.77000000328;7263274.900000017;;64381620.52000002;8966280.18000001;8877846.5;6748570.54;6397814.600000001;6008447.3100000005;5948722.020000011;5823514.43;5521088.25;5218733.069999999;4870603.62;56287392.1;8877846.5;6748570.54;6183638.069999993;5823514.43;5521088.25;5218733.069999999;4870603.62;4601175.0;4292989.82;4149232.8000000007;41.02078078772783;21.883610111449944;2.4017189936820666;11.196668510506981;4.717983919193184;4.671450833924915;33.87708661865144;29.61796926371769;1.0417425235858429;32.88969301893757;18.64243263212214;38.87115004176096;28.531993639617248
BARCELONA;98270857.31;48238149.91;17172142.68;32860564.72;91477967.75;175.0;4039.0;7428303.029999999;0.0288;;45.6;6637.0;0.0485322535273202;3518022.275797243;62099090.67434505;12327522.228173656;5354257.741908262;6853685.325249739;1227253.2004534383;0.0;98136.3040725782;;;;54240930.00999988;;;;;;;;;;;;1643654.249999999;;;7407384.470000001;;133945.88999999998;;;39546.19;109847.78;120479.93;345628.37;227835.88;;311553.44;;;5205197.0;913349.99;11348900.079999998;;4014745.889999999;;;638653.94;375134.96;149308.29;426470.68;227835.88;;311553.44;;5205197.0;32209961.33;4891443.86;4870200.0;4083104.43;3955452.38;3014047.76;2665733.85;2444856.61;2201278.61;2096965.86;1986877.97;18711614.83;4322497.28;2801970.76;1911557.19;1859666.77;1824915.62;1290029.83;1254892.33;1218931.53;1212395.09;1014758.43;50.91306697586803;33.43876874538686;7.537722446679244;11.548591709339997;4.977512147441344;4.398554564721544;32.776717545459256;19.04085844186068;1.6725754664121988;;7.559009082995044;55.19533612991117;63.19176648520585
CONFIANCA;200479330.4;106103644.54;44958488.31;49417197.55;193030571.3;260.0;6260.0;11547026.15;0.0260802954878676;;51.0;7461.609267951245;0.0381882119308152;3910577.5000000014;134337696.22999996;;36567967.340000026;15324714.98;0.0;0.0;2889525.710000001;;;;82871083.84999952;10085676.360000009;32514246.560000066;;;32162369.430000085;;4946896.950000002;;3072425.8800000004;75811.49;13657.18;2983595.689999999;;82453748.52000046;5430775.560000002;;;849408.1800000012;;;874949.0900000011;411982.46;291558.94;;1084204.91;;;;;1918671.98;25409631.939999983;;;18721041.39999999;;;4341815.499999997;903496.68;359073.42;;1084204.94;;;;47557122.13999999;6626122.0299999975;5698084.070000001;5662381.5;5266915.389999999;4612575.779999999;4275504.98;4025196.79;3960562.84;3820559.8;3609218.959999999;30302178.57;3854382.7800000007;3832249.34;3448593.43;3041992.6900000004;2995812.99;2835729.24;2800062.9799999995;2568758.79;2477764.56;2446831.77;47.0750204879974;24.64952244772661;2.7088955001816997;12.674439748627563;3.305139745219339;1.9225836261073228;23.72170839014334;15.114864215448318;1.4882310730223782;41.12830402789516;5.759709056769675;41.33647278482705;67.00825265226442
FATTOR;120099935.53;53196454.26;28340431.88;38563049.39;112930617.44;217.0;5679.0;6592841.7;0.0338108838796895;;33.0;6148.226150914628;0.085889526595152;6503659.799999995;89069669.63999984;;3737567.2800000007;12595857.649999984;0.0;0.0;1023863.5699999996;;;;63059879.70000023;8420647.789999997;25539440.16000001;;;26999644.79999997;;857811.53;;991354.7599999998;163039.58999999997;87941.07;3701854.020000001;;62582281.850000255;2232907.1100000003;;;234565.01;;;160809.62999999992;296180.37;282860.04;;695095.9100000001;;;;;563396.1500000005;13120593.31;;;10745332.229999997;;;645876.4500000004;670257.39;364031.3200000001;;695095.9199999999;;;;35629932.31999999;5755681.14;5728173.810000002;4634483.799999991;4187092.580000001;3440301.02;2625118.780000001;2558453.45;2358567.370000001;2240084.18;2101976.19;18848609.04;3134672.769999999;2476577.9999999995;2101604.67;2044077.52;1915659.59;1850092.11;1484371.5;1383085.12;1229557.58;1228910.18;55.70650889590865;32.10913413052354;1.85920758420577;10.924729686239159;4.792409849847319;2.610053665863112;29.666903785389557;15.694104211481253;3.0823114131275346;52.108505782143155;5.489463146591915;52.506172814929094;74.16296207565486
GAVEAOPEN;515438278.99;301845588.63;67648757.99;145943932.37;433595463.95;185.0;3622.0;77052724.55999999;0.0179558324469087;;68.8813745511926;;0.021971;0.0;325772590.62;;30073072.38;35757180.57;;;18355299.38;;;;;;;;;;;;;;;;;;320108351.26999724;1069732.9500000083;;;;;;9398.390000000596;0.0;0.0;0.0;;0.0;;1028273.8700000028;;20936.65999999992;7159024.060000025;;;;;90920.74999999814;66513.74000000022;0.0;0.0;0.0;;0.0;1028274.0000000036;;180684983.64999995;30073072.380000003;29642364.11999997;21483136.99;20615974.05;16483713.970000004;13925735.420000002;12860643.76;12649382.100000003;11731081.230000002;11219879.630000005;110696275.63;30073072.380000003;12860643.76;11158411.690000009;10887184.9;9435260.77;8320460.699999998;7514200.18;6976010.54;6879072.470000001;6591958.24;41.439043056432354;28.31453120943535;0.20753851500826584;1.3889197507853148;5.834466240832581;5.834466240832581;35.054630401927405;21.476145669062273;;62.10410912772112;14.948972107966954;;63.203026220394534
IOX;832790591.0500001;548968627.45;69299786.19;214522177.41;813305035.59;275.0;5981.0;10489922.04;0.0268190192351047;;36.0;31894.987133038685;0.0344197990369909;9969256.590000004;638745124.6000004;;95530264.80999994;45660108.13000001;0.0;0.0;22818112.590000004;;;;;;;;;;;;;;;;13134476.929999998;;328848238.7900011;16247738.02999999;;;1500455.5200000007;;;3977847.259999999;3528247.999999996;3410038.6800000016;;1479253.4999999995;;;;;2351895.069999995;72058772.61;;;34551940.359999985;;;21283115.14;10163866.910000008;4580596.680000001;;1479253.5199999996;;;;181636530.90000004;21038322.230000004;20937354.74000001;19571614.29;19416248.8;19157485.61;16889107.92;16760354.419999998;16076691.85;16015178.30000001;15774172.74;129096024.34000002;20481281.750000007;18920991.28;16788069.180000003;13469487.78;12597679.300000004;10402160.499999998;9654389.380000005;9295193.87;8926203.560000002;8560567.74;34.08083216239886;25.759438172749512;1.9509992313331128;8.65268812885443;2.526243986915659;2.4593555655061823;21.81058874248193;15.50161898169779;1.5771644241849287;39.48750650213066;1.2596110177918896;;76.6993685404943
