FIDC;PL Total;PL Sênior;PL Mezanino;PL Subordinada Jr;Carteira (Direitos Creditórios);Quantidade de Cedentes;Quantidade de Sacados;Caixa/Disponibilidades;Taxa Média;Taxa Ponderada de Cessão;Prazo Médio;Ticket Médio;Retorno Cota Subordinada;Cheques;Duplicata;Duplicata de Serviço Físico;Contrato;Nota Comercial;Confissão de Dívida;Nota Promissória;CCB;Resgates Subordinada Jr.;Resgates Subordinada Mezanino;Resgates Sênior;Liquidado Total (R$);Liquidado Antecipadamente;Liquidado no Prazo;Liquidado Vencido;Entre D1-D5;Entre D1-D15;Entre D6-D15;Entre D16-D30;Acima de D30;Entre D31-D90;Entre D91-D120;Acima de D120;Recompra (R$);Número de Funcionários;Volume Operado;PDD Total;(PDD Total)0-5 dias;(PDD Total)0-15 dias;(PDD Total)0-30 dias;(PDD Total)5-30 dias;(PDD Total)15-30 dias;(PDD Total)30-60 dias;(PDD Total)60-90 dias;(PDD Total)90-120 dias;(PDD Total)120-150 dias;(PDD Total)> 120 dias;(PDD Total)150-180 dias;(PDD Total)180-360 dias;(PDD Total)180-365 dias;(PDD Total)180-999 dias;PDD À Vencer;Vencidos Total;(Vencidos Total)0-5 dias;(Vencidos Total)0-15 dias;(Vencidos Total)0-30 dias;(Vencidos Total)5-30 dias;(Vencidos Total)15-30 dias;(Vencidos Total)30-60 dias;(Vencidos Total)60-90 dias;(Vencidos Total)90-120 dias;(Vencidos Total)120-150 dias;(Vencidos Total)> 120 dias;(Vencidos Total)150-180 dias;(Vencidos Total)180-365 dias;(Vencidos Total)180-999 dias;Concentração Top 10 Cedentes (R$);Cedente 1;Cedente 2;Cedente 3;Cedente 4;Cedente 5;Cedente 6;Cedente 7;Cedente 8;Cedente 9;Cedente 10;Concentração Top 10 Sacados (R$);Sacado 1;Sacado 2;Sacado 3;Sacado 4;Sacado 5;Sacado 6;Sacado 7;Sacado 8;Sacado 9;Sacado 10;Subordinação (%);Subordinação Jr (%);PDD Total (PL%);Vencidos Total (PL%);Concentração Maior Cedente (PL%);Concentração Maior Sacado (PL%);Concentração 10 Maiores Cedentes (PL%);Concentração 10 Maiores Sacados (PL%);Recompra (PL%);Volume Operado (PL%);Caixa/Disponibilidades (%PL);Liquidados Total (PL%);Duplicata (PL%)
ALFA;52499921.56;19415845.2;0.0;33084076.36;51222155.9643034;84.0;3508.0;677728.21;0.0224;;35.077323866868014;;0.0027628589910293;2917340.81;49395045.31;;;;;;;;;;19552770.85;;;;;;;;;;;;415395.0;25.0;30485794.08;1731856.7900000005;;25857.150000000016;;;13372.93;40067.37000000001;74187.02;806036.93;104028.94999999998;;318556.57000000007;;;349749.87000000005;191642.5400000001;5017890.28;;2357444.0500000007;;;607373.46;167607.91999999995;124686.38;988443.05;104028.94999999998;;318556.60000000003;;349749.87000000005;22035352.19;3266676.06;2883586.05;2684941.85;2301667.14;2171552.22;2149866.23;1875800.82;1659302.9;1581122.83;1460836.09;8907782.7;1157073.8799999997;1110232.1;980187.42;904865.38;877456.9;858936.19;820392.94;754027.65;722305.12;722305.12;63.01738245873295;63.01738245873295;3.29877976678638;9.557900528032713;6.22224941091893;2.2039535405355366;41.97216211993137;16.967230493515427;0.7912297536011785;58.06826595951965;1.2909128049371508;37.243428692848504;94.08594116383286
APPALOOSA;97776994.03;57982054.75;19875532.04;19919407.24;102188839.0;160.0;1648.0;3426721.0;0.0232;;38.12;11208.27;;137025.58;57541813.0;;31639479.68999997;3254062.56;;0.0;2182073.45;;;;40122919.0;;;;;;;;;;;;3648790.0;;47361459.64;7434384.58;;41894.36;;;6759.85;49091.37;59959.01;443177.03;0.0;;0.0;;;6685187.55;148315.41;3233633.94;;2322611.8;;;580956.78;86099.53;84344.41;159620.89;0.0;;0.0;;0.53;28144237.3;3745290.02;3374638.68;3214207.55;3098164.89;3006420.64;2946610.14;2304317.54;2182073.45;2149288.28;2123226.11;22770684.83;3516960.51;2946610.14;2912394.07;2182073.45;2123226.11;1949636.23;1917636.92;1900390.74;1710375.14;1611381.52;40.69969595075718;20.372284337037723;7.603408811810043;3.307152129270669;3.8304409510184647;3.596920262164046;28.784109778793944;23.288387064766464;3.7317469576539404;48.4382447117044;3.504629114440368;41.03513244402815;58.85005319589287
ARTICO;257039777.0;147551126.06;46632169.32;62856481.17;213258848.8;75.0;1075.0;40729627.08;0.0152310515951534;;76.0;33259.33387;0.002500996;;;;;;;;;;;;107930035.6;27390125.54;31194172.02;;;44696576.74;;4100098.23;;549063.04;0.0;0.0;2637439.01;;112824715.1;600966.13;;;98565.04;;;44048.91;78550.48;41070.4;;0.0;;;;;338731.44;12763900.86;;;12462204.81;;;76942.27;168890.89;55862.89;;0.0;;;;82652174.13;11363850.55;10134303.84;9534699.43;8551046.59;8003804.790000018;7291618.609999995;7135619.180000002;6986966.280000001;6973755.009999996;6676509.8500000015;48280301.71;11581551.220000008;8697365.0;5408130.900000001;4469604.33;3819736.6600000006;3468777.880000001;2886964.17;2860643.24;2842106.6300000004;2245421.68;42.59599497318269;24.453989924680027;0.23380277442428687;4.9657298216532455;4.42104746690626;4.505742790151895;32.15540220842939;18.783202457415765;1.0260820487717743;43.89387370967101;15.845651422269945;41.9896238861116;
AUDAX;217359854.82;126309807.4;43886737.89;47163309.53;200650404.48;182.0;8203.0;13174935.920000002;0.0257431684767006;;50.0;5719.823009177265;0.0767159696610133;9221198.580000006;135364853.52999917;;19297415.91999996;34787482.25999999;105171.97000000002;0.0;1189248.7499999998;;;;71512108.18000057;14125003.309999982;27361438.84999995;;;28238078.510000017;;1514765.4800000011;;247264.54;8112.55;17444.940000000002;4016090.15;;62702240.27999945;1312897.5899999992;;;101848.28999999983;;;226587.8400000001;138903.08999999997;220069.50999999995;;324751.14;;;;;300737.7199999992;12280348.409999996;;;10744966.979999997;;;694908.57;236058.02;279663.68;;324751.16;;;;78708568.38000007;19175627.260000054;15653202.720000008;10353557.799999995;7982299.720000001;5883993.270000001;5125181.280000001;4071623.88;3660706.67;3513545.44;3288830.34;37598185.64;10541076.050000004;4269270.35;4071623.88;3996897.520000001;3439586.6;2579804.66;2528647.73;2296491.71;2172044.71;1702742.43;41.88908181568319;21.69826142415161;0.6040202737010639;5.64977760965547;8.822064808554355;4.849596563601534;36.211180047566835;17.2976678104316;1.8476687672274184;28.847203791116083;6.061347405163859;32.90032938199244;62.27684207927793
AURUM;186709599.66;110105123.04;35843077.02;40761399.6;172792940.28;87.0;3432.0;19576432.82;0.022485821198224;;172.11125234394837;;-0.022355;0.0;38340239.86999996;31911936.340000004;;52867302.41;;;14257109.42;;;;59143154.16;;;;;;;;;;;;4655898.3900000015;;68519875.32000057;4549354.150000006;;;;;13385.680000003427;414010.62999999896;331.6000000014901;183989.76000000164;70038.14999999851;;63989.76999999955;;494514.95999999496;;3118797.350000001;12019735.41999998;;;;;231225.4600000009;693748.1900000013;1000.0;183989.77000000328;70038.14999999851;;63989.76999999955;7243085.489999995;;76514522.09999998;10246532.44;9487176.260000002;8132840.18;7663459.209999997;7619301.319999978;7508538.88;6748570.54;6497785.590000003;6433074.61;6177243.069999995;72722219.92;11163298.47;9487176.260000002;8132840.18;7508538.88;6748570.54;6458358.240000003;6433074.61;6129476.459999999;5640253.45;5020632.83;41.028675954261324;21.83144287933074;2.436593596839383;6.437663324161176;5.487951588273466;5.978963315399142;40.98049711387827;38.94937381496606;2.4936577436181313;36.698635444977626;10.484963202561023;31.676547037592208;20.53469127448075
BARCELONA;92873949.29;45066443.73;16467921.48;31339584.08;88873665.52000001;170.0;3841.0;5860173.88;0.0287;;40.42;6744.0;0.0340898471885389;3921221.124615032;61087008.99534331;12948182.661654769;4946126.838299324;4628784.970865364;1242324.08634203;0.0;100016.8428802006;;;;53449501.87999998;;;;;;;;;;;;1655520.1999999995;;;7383818.27;;60067.7;;;18442.01;92911.02;299462.97;219423.38;315710.43;;178816.14;;;5063170.87;1135813.75;8722662.24;;1439819.36;;;627900.99;239990.79;629417.78;227835.88;315710.43;;178816.14;;5063170.87;31600587.48;4973785.07;4686341.24;4446672.07;4104417.45;2780568.89;2532136.94;2227363.4;2214430.9;1904108.12;1730763.4;17846339.24;4507710.26;2659100.61;1932767.4;1806047.97;1602639.02;1257854.45;1177115.1;1097683.37;946533.99;858887.07;51.475689281523394;33.74421387222565;7.950365335433234;9.391936389787176;5.355414632438314;4.853578742435751;34.025243592610444;19.21565667922077;1.7825452806261293;;6.309814457982762;57.55058580862463;65.77410507719274
CONFIANCA;192598565.27;100682302.34;44316803.62;47599459.31;188727440.02;264.0;6393.0;4429808.73;0.0241041562105999;;50.0;7088.653895400135;0.0751350858221977;3578643.1;134031747.59999949;;34103262.53000001;14033261.7;0.0;0.0;2980524.069999999;;;;71424362.02999951;5733722.560000007;30301938.27999995;;;26939827.429999992;;5221785.379999999;;2998928.55;123830.65;104329.18;4129636.66;;90974569.98999996;2979731.18;;;278185.56999999983;;;299603.56000000023;208978.66;104351.21;;1029351.71;;;;;1059260.47;19396394.790000036;;;16404838.310000034;;;1375366.38;457538.71;129299.65;;1029351.74;;;;47041265.32;6328808.949999994;5582468.880000003;5112996.339999999;5021718.02;4480428.469999999;4297691.449999997;4182523.2900000014;4147063.21;3969548.5900000073;3918018.12;31997888.93;5071741.109999999;3574739.26;3383924.600000001;3174579.559999999;3044189.67;2903496.28;2806410.59;2710913.4200000013;2690090.9600000004;2637803.4799999995;47.72427188185149;24.714337431990362;1.5471201334354572;10.070892668804996;3.286010433737014;2.6333223733468776;24.424514925152117;16.613773256899815;2.1441679247250605;47.235331095257415;2.3000216661998194;37.0845763725556;69.59124924534257
FATTOR;112433357.96;48993847.71;27936644.12;35502866.13;109199739.61;209.0;5251.0;3942837.42;0.0321958061897876;;27.0;5883.289676741532;0.066917250270392;6294059.969999996;87214649.00999999;;4917918.319999999;9624914.97;0.0;0.0;1148197.4199999997;;;;52142020.53999995;3613678.019999998;19029831.609999977;;;26597238.110000007;;1554574.37;;1247274.87;82602.45999999999;16821.1;3871540.92;;56858623.57000016;2299261.96;;;156662.67000000004;;;293161.7599999998;318146.58;511862.25999999966;;418697.97;;;;;600730.7200000001;10629617.399999997;;;7425264.089999993;;;1420160.61;701565.8299999997;663928.8900000001;;418697.98;;;;33009007.42;5680616.460000001;4819076.05;3624756.53;3484872.840000001;3199065.32;2975071.18;2469485.93;2431099.220000004;2254951.68;2070012.21;16793109.880000003;3160147.2;2304999.35;2061269.95;1621784.12;1596180.21;1491045.56;1249745.36;1179770.3299999998;1113954.51;1014213.29;56.42409992999555;31.576808497199494;2.0449998129718763;9.454149189230527;5.052429779799847;2.810684709002709;29.358731268831704;14.936056509113982;3.443409491849709;50.57095563242765;3.50682172225322;46.37593458566836;77.5700829295057
FIRMA;67760147.41;35882375.3;17530884.11;14346888.0;67199139.67;122.0;2528.0;2780953.8400000003;0.0273;;34.7294466397491;5471.640984337196;0.032106149;4738579.67;58580601.5;;3485062.06;;;;;;;;;7195022.62;31022135.85;3368512.0;1513640.16;;1344874.3;374376.92;135620.62;;;;;;42968796.65;3377070.75;;;;;;;;;;;;;;;;4628474.770000001;;;;;;;;;;;;;;23627110.790000003;3674752.750000001;3024525.49;2958602.43;2526986.87;2033247.17;1995253.42;1891055.14;1848443.8800000013;1845706.68;1828536.96;15554860.4;3305059.33;2958602.43;1411671.6;1400894.01;1368304.4699999995;1368284.67;1197441.8;989073.53;791095.33;764433.23;47.04501588096531;21.17304720898924;4.983859804150329;6.830673997791413;5.423177030246076;4.877585802760874;34.868741720761264;22.955765290593842;;63.41308024317948;4.104114212109269;;86.45288379546045
GAVEAOPEN;512990894.89;299690581.76;70493940.58;142806372.13;460223902.78;190.0;3693.0;51107349.46;0.0173229244646934;;64.94859830996354;;0.017201;0.0;370494198.85;;10104888.96;39907166.1;;;20001774.06;;;;;;;;;;;;;;;;;;341132484.1600015;1035718.110000005;;;;;;0.0;0.0;0.0;0.0;;0.0;;1028273.870000001;;3468.25;10207104.100000003;;;;;19070.45000000112;0.0;0.0;0.0;0.0;;0.0;1028274.0;;191184973.87;35272338.190000005;26478979.79;25576906.73000001;24858343.130000006;19720756.87;13566022.029999984;11856092.470000004;11615047.52;11333338.07;10907149.069999998;115640932.10999995;26478979.79;14058287.760000002;12745860.88;10104888.96;9595342.99;9369204.389999997;9323463.619999995;9321674.29;8180179.72;6463049.71;41.57974631415976;27.83799353020131;0.2018979518578186;1.9897242235047272;6.875821489495132;5.16168611446366;37.26868756822586;22.542492130351885;;66.49874053479061;9.962623112630272;;72.22237325078541
